ID WHO city,Region,iso3,Country,City/Town,"Annual mean, ug/m3",Year,Number and type of monitoring stations (PM10),note on converted PM10,"Annual mean, ug/m3",Year,Number and type of monitoring stations (PM2.5),note on converted PM2.5,Temporal coverage,for air quality,
262,Amr HI,CAN,Canada,DESCHAMBAULT,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
263,Amr HI,CAN,Canada,DORSET,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
264,Amr HI,CAN,Canada,DUNCAN,15.7578215742,2013,-,converted from PM2.5,9,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
265,Amr HI,CAN,Canada,EDMONTON,14.5,2013,"2 stations, NA",measured data,7.5,2013,"4 stations, NA",measured data,PM10: >75%, PM2.5:>75%,National Air Pollution Surveillance Network.
266,Amr HI,CAN,Canada,ELK ISLAND,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
267,Amr HI,CAN,Canada,FERME NEUVE,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
268,Amr HI,CAN,Canada,FLIN FLON,13,2013,"1 station, NA",measured data,5,2013,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,National Air Pollution Surveillance Network.
269,Amr HI,CAN,Canada,FORT MACKAY,10.5052143828,2013,-,converted from PM2.5,6,2013,"2 stations, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
270,Amr HI,CAN,Canada,FORT MCMURRAY,11.3806489147,2013,-,converted from PM2.5,6.5,2013,"2 stations, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
271,Amr HI,CAN,Canada,FORT SASKATCHEWAN,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
272,Amr HI,CAN,Canada,FORT ST. JOHN,18,2013,"1 station, NA",measured data,10.2806088543,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,National Air Pollution Surveillance Network.
273,Amr HI,CAN,Canada,FREDERICTON,7.0034762552,2013,-,converted from PM2.5,4,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
274,Amr HI,CAN,Canada,GATINEAU,15.7578215742,2013,-,converted from PM2.5,9,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
275,Amr HI,CAN,Canada,GRAND BEND,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
276,Amr HI,CAN,Canada,GRAND FALLS - WINDSOR,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
277,Amr HI,CAN,Canada,GRANDE PRAIRIE,10.5052143828,2013,-,converted from PM2.5,6,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
278,Amr HI,CAN,Canada,GUELPH,14.0069525104,2013,-,converted from PM2.5,8,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
279,Amr HI,CAN,Canada,HALIFAX,11.74859944,2013,"1 station, NA",measured data,5,2013,"1 station, NA",measured data,PM10: <75%, PM2.5:>75%,National Air Pollution Surveillance Network.
280,Amr HI,CAN,Canada,HAMILTON,16,2013,"1 station, NA",measured data,9.5,2013,"2 stations, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
281,Amr HI,CAN,Canada,HOPE,9,2013,"1 station, NA",measured data,5,2013,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,National Air Pollution Surveillance Network.
282,Amr HI,CAN,Canada,HOUSTON,16,2013,"1 station, NA",measured data,9.1383189816,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,National Air Pollution Surveillance Network.
283,Amr HI,CAN,Canada,KAMLOOPS,15.7578215742,2013,-,converted from PM2.5,9,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
284,Amr HI,CAN,Canada,KINGSTON,10.5052143828,2013,-,converted from PM2.5,6,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
285,Amr HI,CAN,Canada,KITCHENER,14.8823870423,2013,-,converted from PM2.5,8.5,2013,"2 stations, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
286,Amr HI,CAN,Canada,LA DORE,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
287,Amr HI,CAN,Canada,LA PATRIE,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
288,Amr HI,CAN,Canada,LA PECHE,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
289,Amr HI,CAN,Canada,LAC-EDOUARD,7.0034762552,2013,-,converted from PM2.5,4,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
290,Amr HI,CAN,Canada,LAMONT,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
291,Amr HI,CAN,Canada,LANGDALE,10,2013,"1 station, NA",measured data,5.7114493635,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,National Air Pollution Surveillance Network.
292,Amr HI,CAN,Canada,LANGLEY,11,2013,"1 station, NA",measured data,6.2825942998,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,National Air Pollution Surveillance Network.
293,Amr HI,CAN,Canada,LAVAL,15.7578215742,2013,-,converted from PM2.5,9,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
294,Amr HI,CAN,Canada,LEMIEUX,17.508690638,2013,-,converted from PM2.5,10,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
295,Amr HI,CAN,Canada,LONDON,15.7578215742,2013,-,converted from PM2.5,9,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
296,Amr HI,CAN,Canada,LONGUEUIL,14.8823870423,2013,-,converted from PM2.5,8.5,2013,"2 stations, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
297,Amr HI,CAN,Canada,MISSISSAUGA,14.0069525104,2013,-,converted from PM2.5,8,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
298,Amr HI,CAN,Canada,MONCTON,10.5052143828,2013,-,converted from PM2.5,6,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
299,Amr HI,CAN,Canada,MONTREAL,15.6666666667,2013,"3 stations, NA",measured data,10.1111111111,2013,"9 stations, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
300,Amr HI,CAN,Canada,MORRISBURG,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
301,Amr HI,CAN,Canada,MOUNT PEARL,10.5052143828,2013,-,converted from PM2.5,6,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
302,Amr HI,CAN,Canada,NANAIMO,10,2013,"1 station, NA",measured data,5.7114493635,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,National Air Pollution Surveillance Network.
303,Amr HI,CAN,Canada,NELSON,13,2013,"1 station, NA",measured data,7.4248841725,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,National Air Pollution Surveillance Network.
304,Amr HI,CAN,Canada,NEWMARKET,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
305,Amr HI,CAN,Canada,NORMAN WELLS,5.2526071914,2013,-,converted from PM2.5,3,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
306,Amr HI,CAN,Canada,NORTH BAY,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
307,Amr HI,CAN,Canada,NORTH VANCOUVER,9.6297798509,2013,-,converted from PM2.5,5.5,2013,"2 stations, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
308,Amr HI,CAN,Canada,NOTRE-DAME-DU-ROSAIRE,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
309,Amr HI,CAN,Canada,OAKVILLE,14.0069525104,2013,-,converted from PM2.5,8,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
310,Amr HI,CAN,Canada,OSHAWA,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
311,Amr HI,CAN,Canada,OTTAWA,11,2013,"1 station, NA",measured data,7,2013,"2 stations, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
312,Amr HI,CAN,Canada,PARRY SOUND,10.5052143828,2013,-,converted from PM2.5,6,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
313,Amr HI,CAN,Canada,PETAWAWA,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
314,Amr HI,CAN,Canada,PETERBOROUGH,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
315,Amr HI,CAN,Canada,PICTOU,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
316,Amr HI,CAN,Canada,PORT ALBERNI,14.0069525104,2013,-,converted from PM2.5,8,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
317,Amr HI,CAN,Canada,PORT HAWKESBURY,10.5052143828,2013,-,converted from PM2.5,6,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
318,Amr HI,CAN,Canada,PORT MOODY,11,2013,"1 station, NA",measured data,6,2013,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,National Air Pollution Surveillance Network.
319,Amr HI,CAN,Canada,PORT STANLEY,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
320,Amr HI,CAN,Canada,POWELL RIVER,7,2013,"1 station, NA",measured data,3.9980145544,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,National Air Pollution Surveillance Network.
321,Amr HI,CAN,Canada,PRINCE GEORGE,15.3333333333,2013,"3 stations, NA",measured data,8.7575556907,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,National Air Pollution Surveillance Network.
322,Amr HI,CAN,Canada,QUEBEC,18,2013,"1 station, NA",measured data,9,2013,"2 stations, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
323,Amr HI,CAN,Canada,QUESNEL,15,2013,"3 stations, NA",measured data,8.5671740452,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,National Air Pollution Surveillance Network.
324,Amr HI,CAN,Canada,REGINA,25,2013,"1 station, NA",measured data,14.2786234087,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,National Air Pollution Surveillance Network.
325,Amr HI,CAN,Canada,RICHMOND,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
326,Amr HI,CAN,Canada,ROUYN-NORANDA,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
327,Amr HI,CAN,Canada,SAGUENAY,10.5052143828,2013,-,converted from PM2.5,6,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
328,Amr HI,CAN,Canada,SAINT JOHN,8,2013,"1 station, NA",measured data,6.75,2013,"4 stations, NA",measured data,PM10: >75%, PM2.5:>75%,National Air Pollution Surveillance Network.
329,Amr HI,CAN,Canada,SAINT-FAUSTIN-LAC-CARRE,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
330,Amr HI,CAN,Canada,SAINT-JEAN-SUR-RICHELIEU,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
331,Amr HI,CAN,Canada,SAINT-SIMON,15.7578215742,2013,-,converted from PM2.5,9,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
332,Amr HI,CAN,Canada,SAINT-ZEPHIRIN-DE-COURVAL,14.0069525104,2013,-,converted from PM2.5,8,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
333,Amr HI,CAN,Canada,SARNIA,14.0069525104,2013,-,converted from PM2.5,8,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
334,Amr HI,CAN,Canada,SASKATOON,16,2013,"1 station, NA",measured data,9.1383189816,2013,-,converted from PM10,PM10: <75%, PM2.5:NA,National Air Pollution Surveillance Network.
335,Amr HI,CAN,Canada,SAULT STE. MARIE,10.5052143828,2013,-,converted from PM2.5,6,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
336,Amr HI,CAN,Canada,SENNETERRE,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
337,Amr HI,CAN,Canada,SHERBROOKE,14.0069525104,2013,-,converted from PM2.5,8,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
338,Amr HI,CAN,Canada,SIMCOE,14.0069525104,2013,-,converted from PM2.5,8,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
339,Amr HI,CAN,Canada,ST. ANDREWS,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
340,Amr HI,CAN,Canada,ST. CATHARINES,14.0069525104,2013,-,converted from PM2.5,8,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
341,Amr HI,CAN,Canada,ST. JOHN'S,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
342,Amr HI,CAN,Canada,ST-HILAIRE-DE-DORSET,7.0034762552,2013,-,converted from PM2.5,4,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
343,Amr HI,CAN,Canada,STUKELY-SUD,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
344,Amr HI,CAN,Canada,SUDBURY,10.5052143828,2013,-,converted from PM2.5,6,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
345,Amr HI,CAN,Canada,SURREY,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
346,Amr HI,CAN,Canada,SYDNEY,10.5052143828,2013,-,converted from PM2.5,6,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
347,Amr HI,CAN,Canada,TERRACE,15,2013,"1 station, NA",measured data,8.5671740452,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,National Air Pollution Surveillance Network.
348,Amr HI,CAN,Canada,THOMSON,12,2013,"1 station, NA",measured data,4,2013,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,National Air Pollution Surveillance Network.
349,Amr HI,CAN,Canada,THUNDER BAY,10.5052143828,2013,-,converted from PM2.5,6,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
350,Amr HI,CAN,Canada,TINGWICK,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
351,Amr HI,CAN,Canada,TORONTO,14.3333333333,2013,"3 stations, NA",measured data,8.4,2013,"5 stations, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
352,Amr HI,CAN,Canada,TROIS-RIVIERES,19.2595597018,2013,-,converted from PM2.5,11,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
353,Amr HI,CAN,Canada,VANCOUVER,12.2560834466,2013,-,converted from PM2.5,7,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
354,Amr HI,CAN,Canada,VANDERHOOF,21.0104287656,2013,-,converted from PM2.5,12,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
355,Amr HI,CAN,Canada,VARENNES,15.7578215742,2013,-,converted from PM2.5,9,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
356,Amr HI,CAN,Canada,VICTORIA,13.1315179785,2013,-,converted from PM2.5,7.5,2013,"2 stations, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
357,Amr HI,CAN,Canada,WEST VANCOUVER,8.754345319,2013,-,converted from PM2.5,5,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
358,Amr HI,CAN,Canada,WHITEHORSE,10.5052143828,2013,-,converted from PM2.5,6,2013,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
359,Amr HI,CAN,Canada,WILLIAMS LAKE,15,2013,"1 station, NA",measured data,8.5671740452,2013,-,converted from PM10,PM10: >75%, PM2.5:NA,National Air Pollution Surveillance Network.
360,Amr HI,CAN,Canada,WINDSOR,17,2013,"1 station, NA",measured data,9.5,2013,"2 stations, NA",measured data,PM10: NA, PM2.5:>75%,National Air Pollution Surveillance Network.
361,Amr HI,CAN,Canada,WINNIPEG,17,2013,"1 station, NA",measured data,6.5,2013,"2 stations, NA",measured data,PM10: <75 % but annually representative, PM2.5:>75%,National Air Pollution Surveillance Network.
362,Amr HI,CAN,Canada,YELLOWKNIFE,11,2013,"1 station, NA",measured data,6,2013,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,National Air Pollution Surveillance Network.
363,Amr HI,CHL,Chile,Andacollo,66.83,2014,"1 station, NA",measured data,30.8474914068,2014,-,converted from PM10,PM10: >75%, PM2.5:NA,Ministerio del Medio Ambiente
364,Amr HI,CHL,Chile,Antofagasta,39.65,2014,"1 station, NA",measured data,12.18,2014,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,Ministerio del Medio Ambiente
365,Amr HI,CHL,Chile,Arica,32.8436042543,2014,-,converted from PM2.5,15.16,2014,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,Ministerio del Medio Ambiente
366,Amr HI,CHL,Chile,Copiap�,47.45,2014,"1 station, NA",measured data,19.05,2014,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,Ministerio del Medio Ambiente
367,Amr HI,CHL,Chile,Coquimbo,31.2404204054,2014,-,converted from PM2.5,14.42,2014,"2 stations, NA",measured data,PM10: NA, PM2.5:>75%,Ministerio del Medio Ambiente
368,Amr HI,CHL,Chile,Coyhaique,75.445,2014,"2 stations, NA",measured data,63.92,2014,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,Ministerio del Medio Ambiente
369,Amr HI,CHL,Chile,Curico,50.58,2014,"1 station, NA",measured data,27.38,2014,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,Ministerio del Medio Ambiente
370,Amr HI,CHL,Chile,Huasco,24.6327031907,2014,-,converted from PM2.5,11.37,2014,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,Ministerio del Medio Ambiente
371,Amr HI,CHL,Chile,Maule,41.63,2014,"1 station, NA",measured data,21.57,2014,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,Ministerio del Medio Ambiente
372,Amr HI,CHL,Chile,Osorno,53.59,2014,"1 station, NA",measured data,34.57,2014,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,Ministerio del Medio Ambiente
373,Amr HI,CHL,Chile,Padre las Casas,63.55,2014,"1 station, NA",measured data,34.91,2014,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,Ministerio del Medio Ambiente
374,Amr HI,CHL,Chile,Punta Arenas,11.8050659354,2014,-,converted from PM2.5,5.449,2014,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,Ministerio del Medio Ambiente
375,Amr HI,CHL,Chile,Quilpu�,39.85,2014,"1 station, NA",measured data,17.53,2014,"1 station, NA",measured data,PM10: <75 % but annually representative, PM2.5:>75%,Ministerio del Medio Ambiente
376,Amr HI,CHL,Chile,Rancagua,75,2014,"2 stations, NA",measured data,29.825,2014,"2 stations, NA",measured data,PM10: >75%, PM2.5:>75%,Ministerio del Medio Ambiente
377,Amr HI,CHL,Chile,Rengo,49.29,2014,"1 station, NA",measured data,22.7513519593,2014,-,converted from PM10,PM10: >75%, PM2.5:NA,Ministerio del Medio Ambiente
378,Amr HI,CHL,Chile,San Fernando,42.99,2014,"1 station, NA",measured data,19.8433885317,2014,-,converted from PM10,PM10: >75%, PM2.5:NA,Ministerio del Medio Ambiente
379,Amr HI,CHL,Chile,Santiago,64.41,2014,"10 stations, NA",measured data,28.771,2014,"10 stations, NA",measured data,PM10: >75%, PM2.5:>75%,Ministerio del Medio Ambiente
380,Amr HI,CHL,Chile,Talagante,40.6,2014,"1 station, NA",measured data,19.1,2014,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,Ministerio del Medio Ambiente
381,Amr HI,CHL,Chile,Talca,49.435,2014,"2 stations, NA",measured data,25.32,2014,"2 stations, NA",measured data,PM10: >75%, PM2.5:>75%,Ministerio del Medio Ambiente
382,Amr HI,CHL,Chile,Temuco,50.1,2014,"2 stations, NA",measured data,31,2014,"2 stations, NA",measured data,PM10: >75%, PM2.5:>75%,Ministerio del Medio Ambiente
383,Amr HI,CHL,Chile,Valdivia,46.83,2014,"1 station, NA",measured data,28.75,2014,"1 station, NA",measured data,PM10: >75%, PM2.5:>75%,Ministerio del Medio Ambiente
384,Amr HI,CHL,Chile,Valpara�so,34.0568244642,2014,-,converted from PM2.5,15.72,2014,"1 station, NA",measured data,PM10: NA, PM2.5:>75%,Ministerio del Medio Ambiente
385,Amr HI,CHL,Chile,Vina del Mar,33.74,2014,"1 station, NA",measured data,12.51,2014,"1 station, NA",measured data,PM10: <75 % but annually representative, PM2.5:>75%,Ministerio del Medio Ambiente
386,Wpr LMI,CHN,China,Anshan,98.2853497217,2014,-,converted from PM2.5,65.1428571429,2014,"7 stations, NA",measured data,PM10: NA, PM2.5:<75 % but annually representative,China National Environmental Monitoring Center
387,Wpr LMI,CHN,China,Anyang,119.494293609,2014,-,converted from PM2.5,79.2,2014,"5 stations, NA",measured data,PM10: NA, PM2.5:<75 % but annually representative,China National Environmental Monitoring Center
388,Wpr LMI,CHN,China,Baoding,190.1045580143,2014,-,converted from PM2.5,126,2014,"6 stations, NA",measured data,PM10: NA, PM2.5:>75%,China National Environmental Monitoring Center
389,Wpr LMI,CHN,China,Baoji,97.504024299,2014,-,converted from PM2.5,64.625,2014,"8 stations, NA",measured data,PM10: NA, PM2.5:>75%,China National Environmental Monitoring Center
390,Wpr LMI,CHN,China,Baotou,76.9470830058,2014,-,converted from PM2.5,51,2014,"6 stations, NA",measured data,PM10: NA, PM2.5:>75%,China National Environmental Monitoring Center
391,Wpr LMI,CHN,China,Beihai,59.9734617545,2014,-,converted from PM2.5,39.75,2014,"4 stations, NA",measured data,PM10: NA, PM2.5:<75 % but annually representative,China National Environmental Monitoring Center
392,Wpr LMI,CHN,China,Beijing,108,2013,NA,measured data,85.2385355512,2014,"14 stations, NA",measured data,PM10: NA, PM2.5:<75 % but annually representative,"Clean Air Asia, primary source: National Bureau of Statistics, China; China National Environmental Monitoring Center"
393,Wpr LMI,CHN,China,Benxi,80.7189988394,2014,-,converted from PM2.5,53.5,2014,"6 stations, NA",measured data,PM10: NA, PM2.5:<75 % but annually representative,China National Environmental Monitoring Center
394,Wpr LMI,CHN,China,Binzhou,79.9646156727,2014,-,converted from PM2.5,53,2014,"3 stations, NA",measured data,PM10: NA, PM2.5:>75%,China National Environmental Monitoring Center
395,Wpr LMI,CHN,China,Cangzhou,133.2743594545,2014,-,converted from PM2.5,88.3333333333,2014,"3 stations, NA",measured data,PM10: NA, PM2.5:>75%,China National Environmental Monitoring Center
396,Wpr LMI,CHN,China,Changchun,130,2013,NA,measured data,63.6,2014,"10 stations, NA",measured data,PM10: NA, PM2.5:>75%,"Clean Air Asia, primary source: National Bureau of Statistics, China; China National Environmental Monitoring Center"
397,Wpr LMI,CHN,China,Changde,79.662862406,2014,-,converted from PM2.5,52.8,2014,"5 stations, NA",measured data,PM10: NA, PM2.5:<75 % but annually representative,China National Environmental Monitoring Center
398,Wpr LMI,CHN,China,Changhua,47.7776005592,2014,-,converted from PM2.5,31.6666666667,2014,"3 stations, NA",measured data,PM10: NA, PM2.5:>75%,http://www.epa.gov.tw/
399,Wpr LMI,CHN,China,Changsha,94,2013,NA,measured data,73.5,2014,"10 stations, NA",measured data,PM10: NA, PM2.5:>75%,"Clean Air Asia, primary source: National Bureau of Statistics, China; China National Environmental Monitoring Center"
400,Wpr LMI,CHN,China,Changshu,73.9295503389,2014,-,converted from PM2.5,49,2014,"3 stations, NA",measured data,PM10: NA, PM2.5:<75 % but annually representative,China National Environmental Monitoring Center
401,Wpr LMI,CHN,China,Changzhi,101.3890976076,2014,-,converted from PM2.5,67.2,2014,"5 stations, NA",measured data,PM10: NA, PM2.5:>75%,China National Environmental Monitoring Center
402,Wpr LMI,CHN,China,Changzhou,98.5727337852,2014,-,converted from PM2.5,65.3333333333,2014,"6 stations, NA",measured data,PM10: NA, PM2.5:>75%,China National Environmental Monitoring Center
403,Wpr LMI,CHN,China,Chaozhou,65.3798744494,2014,-,converted from PM2.5,43.3333333333,2014,"3 stations, NA",measured data,PM10: NA, PM2.5:<75 % but annually representative,China National Environmental Monitoring Center
404,Wpr LMI,CHN,China,Chengde,80.2663689394,2014,-,converted from PM2.5,53.2,2014,"5 stations, NA",measured data,PM10: NA, PM2.5:>75%,China National Environmental Monitoring Center
405,Wpr LMI,CHN,China,Chengdu,150,2013,NA,measured data,71.375,2014,"8 stations, NA",measured data,PM10: NA, PM2.5:>75%,"Clean Air Asia, primary source: National Bureau of Statistics, China; China National Environmental Monitoring Center"
